id,inning,over,ball,batsman,non_striker,bowler,batsman_runs,extra_runs,total_runs,non_boundary,is_wicket,dismissal_kind,player_dismissed,fielder,extras_type,batting_team,bowling_team
336023,1,13,6,GC Smith,SR Watson,Abdur Razzak,0,5,5,0,0,NA,NA,NA,wides,Rajasthan Royals,Royal Challengers Bangalore
336023,1,13,7,GC Smith,SR Watson,Abdur Razzak,4,0,4,0,0,NA,NA,NA,NA,Rajasthan Royals,Royal Challengers Bangalore
336023,1,14,1,SR Watson,GC Smith,A Kumble,4,0,4,0,0,NA,NA,NA,NA,Rajasthan Royals,Royal Challengers Bangalore
336023,1,14,2,SR Watson,GC Smith,A Kumble,4,0,4,0,0,NA,NA,NA,NA,Rajasthan Royals,Royal Challengers Bangalore
336023,1,14,3,SR Watson,GC Smith,A Kumble,1,0,1,0,0,NA,NA,NA,NA,Rajasthan Royals,Royal Challengers Bangalore
336023,1,14,4,GC Smith,SR Watson,A Kumble,1,0,1,0,0,NA,NA,NA,NA,Rajasthan Royals,Royal Challengers Bangalore
336023,1,14,5,SR Watson,GC Smith,A Kumble,1,0,1,0,0,NA,NA,NA,NA,Rajasthan Royals,Royal Challengers Bangalore
336023,1,14,6,GC Smith,SR Watson,A Kumble,6,0,6,0,0,NA,NA,NA,NA,Rajasthan Royals,Royal Challengers Bangalore
336023,1,15,1,SR Watson,GC Smith,JH Kallis,1,0,1,0,0,NA,NA,NA,NA,Rajasthan Royals,Royal Challengers Bangalore
336023,1,15,2,GC Smith,SR Watson,JH Kallis,1,0,1,0,0,NA,NA,NA,NA,Rajasthan Royals,Royal Challengers Bangalore
336023,1,15,3,SR Watson,GC Smith,JH Kallis,4,0,4,0,0,NA,NA,NA,NA,Rajasthan Royals,Royal Challengers Bangalore
336023,1,15,4,SR Watson,GC Smith,JH Kallis,1,0,1,0,0,NA,NA,NA,NA,Rajasthan Royals,Royal Challengers Bangalore
336023,1,15,5,GC Smith,SR Watson,JH Kallis,0,0,0,0,0,NA,NA,NA,NA,Rajasthan Royals,Royal Challengers Bangalore
336023,1,15,6,GC Smith,SR Watson,JH Kallis,1,0,1,0,0,NA,NA,NA,NA,Rajasthan Royals,Royal Challengers Bangalore
336023,1,16,1,GC Smith,SR Watson,Z Khan,1,0,1,0,0,NA,NA,NA,NA,Rajasthan Royals,Royal Challengers Bangalore
336023,1,16,2,SR Watson,GC Smith,Z Khan,4,0,4,0,0,NA,NA,NA,NA,Rajasthan Royals,Royal Challengers Bangalore
336023,1,16,3,SR Watson,GC Smith,Z Khan,1,0,1,0,0,NA,NA,NA,NA,Rajasthan Royals,Royal Challengers Bangalore
336023,1,16,4,GC Smith,SR Watson,Z Khan,4,0,4,0,0,NA,NA,NA,NA,Rajasthan Royals,Royal Challengers Bangalore
336023,1,16,5,GC Smith,SR Watson,Z Khan,2,0,2,0,0,NA,NA,NA,NA,Rajasthan Royals,Royal Challengers Bangalore
336023,1,16,6,GC Smith,SR Watson,Z Khan,4,0,4,0,0,NA,NA,NA,NA,Rajasthan Royals,Royal Challengers Bangalore
336023,1,17,1,SR Watson,GC Smith,JH Kallis,2,0,2,0,0,NA,NA,NA,NA,Rajasthan Royals,Royal Challengers Bangalore
336023,1,17,2,SR Watson,GC Smith,JH Kallis,1,0,1,0,0,NA,NA,NA,NA,Rajasthan Royals,Royal Challengers Bangalore
336023,1,17,3,GC Smith,SR Watson,JH Kallis,4,0,4,0,0,NA,NA,NA,NA,Rajasthan Royals,Royal Challengers Bangalore
336023,1,17,4,GC Smith,SR Watson,JH Kallis,1,0,1,0,0,NA,NA,NA,NA,Rajasthan Royals,Royal Challengers Bangalore
336023,1,17,5,SR Watson,GC Smith,JH Kallis,1,0,1,0,0,NA,NA,NA,NA,Rajasthan Royals,Royal Challengers Bangalore
336023,1,17,6,GC Smith,SR Watson,JH Kallis,1,0,1,0,0,NA,NA,NA,NA,Rajasthan Royals,Royal Challengers Bangalore
336023,1,18,1,GC Smith,SR Watson,Z Khan,0,0,0,0,0,NA,NA,NA,NA,Rajasthan Royals,Royal Challengers Bangalore
336023,1,18,2,GC Smith,SR Watson,Z Khan,1,0,1,0,0,NA,NA,NA,NA,Rajasthan Royals,Royal Challengers Bangalore
336023,1,18,3,SR Watson,GC Smith,Z Khan,4,0,4,0,0,NA,NA,NA,NA,Rajasthan Royals,Royal Challengers Bangalore
336023,1,18,4,SR Watson,GC Smith,Z Khan,1,0,1,0,0,NA,NA,NA,NA,Rajasthan Royals,Royal Challengers Bangalore
336023,1,18,5,GC Smith,SR Watson,Z Khan,2,0,2,0,0,NA,NA,NA,NA,Rajasthan Royals,Royal Challengers Bangalore
336023,1,18,6,GC Smith,SR Watson,Z Khan,1,0,1,0,0,NA,NA,NA,NA,Rajasthan Royals,Royal Challengers Bangalore
336023,1,19,1,GC Smith,SR Watson,P Kumar,1,0,1,0,0,NA,NA,NA,NA,Rajasthan Royals,Royal Challengers Bangalore
336023,1,19,2,SR Watson,GC Smith,P Kumar,0,2,2,0,0,NA,NA,NA,legbyes,Rajasthan Royals,Royal Challengers Bangalore
336023,1,19,3,SR Watson,GC Smith,P Kumar,2,0,2,0,0,NA,NA,NA,NA,Rajasthan Royals,Royal Challengers Bangalore
336023,1,19,4,SR Watson,GC Smith,P Kumar,2,0,2,0,0,NA,NA,NA,NA,Rajasthan Royals,Royal Challengers Bangalore
336023,1,19,5,SR Watson,GC Smith,P Kumar,2,0,2,0,0,NA,NA,NA,NA,Rajasthan Royals,Royal Challengers Bangalore
336023,1,19,6,SR Watson,GC Smith,P Kumar,2,0,2,0,0,NA,NA,NA,NA,Rajasthan Royals,Royal Challengers Bangalore
336023,2,0,1,J Arunkumar,V Kohli,Sohail Tanvir,0,0,0,0,0,NA,NA,NA,NA,Royal Challengers Bangalore,Rajasthan Royals
336023,2,0,2,J Arunkumar,V Kohli,Sohail Tanvir,0,0,0,0,0,NA,NA,NA,NA,Royal Challengers Bangalore,Rajasthan Royals
336023,2,0,3,J Arunkumar,V Kohli,Sohail Tanvir,0,0,0,0,1,caught,J Arunkumar,SK Trivedi,NA,Royal Challengers Bangalore,Rajasthan Royals
336023,2,0,4,V Kohli,Misbah-ul-Haq,Sohail Tanvir,0,0,0,0,0,NA,NA,NA,NA,Royal Challengers Bangalore,Rajasthan Royals
336023,2,0,5,V Kohli,Misbah-ul-Haq,Sohail Tanvir,0,0,0,0,0,NA,NA,NA,NA,Royal Challengers Bangalore,Rajasthan Royals
336023,2,0,6,V Kohli,Misbah-ul-Haq,Sohail Tanvir,1,0,1,0,0,NA,NA,NA,NA,Royal Challengers Bangalore,Rajasthan Royals
336023,2,1,1,V Kohli,Misbah-ul-Haq,MM Patel,1,0,1,0,0,NA,NA,NA,NA,Royal Challengers Bangalore,Rajasthan Royals
336023,2,1,2,Misbah-ul-Haq,V Kohli,MM Patel,0,0,0,0,1,caught,Misbah-ul-Haq,T Kohli (sub),NA,Royal Challengers Bangalore,Rajasthan Royals
336023,2,1,3,JH Kallis,V Kohli,MM Patel,0,0,0,0,0,NA,NA,NA,NA,Royal Challengers Bangalore,Rajasthan Royals
336023,2,1,4,JH Kallis,V Kohli,MM Patel,1,0,1,0,0,NA,NA,NA,NA,Royal Challengers Bangalore,Rajasthan Royals
336023,2,1,5,V Kohli,JH Kallis,MM Patel,1,0,1,0,0,NA,NA,NA,NA,Royal Challengers Bangalore,Rajasthan Royals
336023,2,1,6,JH Kallis,V Kohli,MM Patel,0,0,0,0,0,NA,NA,NA,NA,Royal Challengers Bangalore,Rajasthan Royals
336023,2,2,1,V Kohli,JH Kallis,Sohail Tanvir,0,1,1,0,0,NA,NA,NA,wides,Royal Challengers Bangalore,Rajasthan Royals
336023,2,2,2,V Kohli,JH Kallis,Sohail Tanvir,0,0,0,0,0,NA,NA,NA,NA,Royal Challengers Bangalore,Rajasthan Royals
336023,2,2,3,V Kohli,JH Kallis,Sohail Tanvir,0,0,0,0,1,bowled,V Kohli,NA,NA,Royal Challengers Bangalore,Rajasthan Royals
336023,2,2,4,CL White,JH Kallis,Sohail Tanvir,0,0,0,0,0,NA,NA,NA,NA,Royal Challengers Bangalore,Rajasthan Royals
336023,2,2,5,CL White,JH Kallis,Sohail Tanvir,0,0,0,0,0,NA,NA,NA,NA,Royal Challengers Bangalore,Rajasthan Royals
336023,2,2,6,CL White,JH Kallis,Sohail Tanvir,0,1,1,0,0,NA,NA,NA,wides,Royal Challengers Bangalore,Rajasthan Royals
336023,2,2,7,CL White,JH Kallis,Sohail Tanvir,0,0,0,0,0,NA,NA,NA,NA,Royal Challengers Bangalore,Rajasthan Royals
336023,2,2,8,CL White,JH Kallis,Sohail Tanvir,0,0,0,0,0,NA,NA,NA,NA,Royal Challengers Bangalore,Rajasthan Royals
336023,2,3,1,JH Kallis,CL White,MM Patel,4,0,4,0,0,NA,NA,NA,NA,Royal Challengers Bangalore,Rajasthan Royals
336023,2,3,2,JH Kallis,CL White,MM Patel,0,0,0,0,0,NA,NA,NA,NA,Royal Challengers Bangalore,Rajasthan Royals
336023,2,3,3,JH Kallis,CL White,MM Patel,0,0,0,0,0,NA,NA,NA,NA,Royal Challengers Bangalore,Rajasthan Royals
336023,2,3,4,JH Kallis,CL White,MM Patel,1,0,1,0,0,NA,NA,NA,NA,Royal Challengers Bangalore,Rajasthan Royals
336023,2,3,5,CL White,JH Kallis,MM Patel,4,0,4,0,0,NA,NA,NA,NA,Royal Challengers Bangalore,Rajasthan Royals
336023,2,3,6,CL White,JH Kallis,MM Patel,0,0,0,0,0,NA,NA,NA,NA,Royal Challengers Bangalore,Rajasthan Royals
336023,2,4,1,JH Kallis,CL White,Sohail Tanvir,0,0,0,0,0,NA,NA,NA,NA,Royal Challengers Bangalore,Rajasthan Royals
336023,2,4,2,JH Kallis,CL White,Sohail Tanvir,0,0,0,0,0,NA,NA,NA,NA,Royal Challengers Bangalore,Rajasthan Royals
336023,2,4,3,JH Kallis,CL White,Sohail Tanvir,0,0,0,0,0,NA,NA,NA,NA,Royal Challengers Bangalore,Rajasthan Royals
336023,2,4,4,JH Kallis,CL White,Sohail Tanvir,0,1,1,0,0,NA,NA,NA,wides,Royal Challengers Bangalore,Rajasthan Royals
336023,2,4,5,JH Kallis,CL White,Sohail Tanvir,1,0,1,0,0,NA,NA,NA,NA,Royal Challengers Bangalore,Rajasthan Royals
336023,2,4,6,CL White,JH Kallis,Sohail Tanvir,0,0,0,0,0,NA,NA,NA,NA,Royal Challengers Bangalore,Rajasthan Royals
336023,2,4,7,CL White,JH Kallis,Sohail Tanvir,1,0,1,0,0,NA,NA,NA,NA,Royal Challengers Bangalore,Rajasthan Royals
336023,2,5,1,CL White,JH Kallis,MM Patel,1,0,1,0,0,NA,NA,NA,NA,Royal Challengers Bangalore,Rajasthan Royals
336023,2,5,2,JH Kallis,CL White,MM Patel,0,0,0,0,0,NA,NA,NA,NA,Royal Challengers Bangalore,Rajasthan Royals
336023,2,5,3,JH Kallis,CL White,MM Patel,0,0,0,0,0,NA,NA,NA,NA,Royal Challengers Bangalore,Rajasthan Royals
336023,2,5,4,JH Kallis,CL White,MM Patel,0,0,0,0,0,NA,NA,NA,NA,Royal Challengers Bangalore,Rajasthan Royals
336023,2,5,5,JH Kallis,CL White,MM Patel,0,0,0,0,0,NA,NA,NA,NA,Royal Challengers Bangalore,Rajasthan Royals
336023,1,6,6,SA Asnodkar,GC Smith,JH Kallis,0,0,0,0,0,NA,NA,NA,NA,Rajasthan Royals,Royal Challengers Bangalore
336023,1,6,7,SA Asnodkar,GC Smith,JH Kallis,4,0,4,0,0,NA,NA,NA,NA,Rajasthan Royals,Royal Challengers Bangalore
336023,1,7,1,GC Smith,SA Asnodkar,Abdur Razzak,4,1,5,0,0,NA,NA,NA,noballs,Rajasthan Royals,Royal Challengers Bangalore
336023,1,7,2,GC Smith,SA Asnodkar,Abdur Razzak,6,0,6,0,0,NA,NA,NA,NA,Rajasthan Royals,Royal Challengers Bangalore
336023,1,7,3,GC Smith,SA Asnodkar,Abdur Razzak,0,0,0,0,0,NA,NA,NA,NA,Rajasthan Royals,Royal Challengers Bangalore
336023,1,7,4,GC Smith,SA Asnodkar,Abdur Razzak,0,0,0,0,0,NA,NA,NA,NA,Rajasthan Royals,Royal Challengers Bangalore
